Description,Acronym,Length,ID,die
"NM_005901.6 Homo sapiens SMAD family member 2 (SMAD2), transcript variant 1, mRNA",SMAD2,34626,NM_005901.6,no
"NM_001346143.2 Homo sapiens fibronectin leucine rich transmembrane protein 2 (FLRT2), transcript variant 1, mRNA",FLRT2,33935,NM_001346143.2,no
"NM_032522.5 Homo sapiens zinc finger and BTB domain containing 37 (ZBTB37), transcript variant 2, mRNA",ZBTB37,31252,NM_032522.5,no
"NM_000834.5 Homo sapiens glutamate ionotropic receptor NMDA type subunit 2B (GRIN2B), mRNA",GRIN2B,30609,NM_000834.5,no
"NM_001318374.2 Homo sapiens protocadherin 9 (PCDH9), transcript variant 5, mRNA",PCDH9,28118,NM_001318374.2,no
"NM_001370785.2 Homo sapiens leucine rich repeat containing 7 (LRRC7), transcript variant 11, mRNA",LRRC7,27923,NM_001370785.2,no
"NM_182961.4 Homo sapiens spectrin repeat containing nuclear envelope protein 1 (SYNE1), transcript variant 1, mRNA",SYNE1,27708,NM_182961.4,no
"NM_001348803.2 Homo sapiens zinc finger and BTB domain containing 20 (ZBTB20), transcript variant 10, mRNA",ZBTB20,27620,NM_001348803.2,no
"NM_001322230.2 Homo sapiens ribosomal protein S6 kinase A5 (RPS6KA5), transcript variant 6, mRNA",RPS6KA5,27016,NM_001322230.2,no
"NM_001271223.2 Homo sapiens obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF (OBSCN), transcript variant IC, mRNA",OBSCN,26925,NM_001271223.2,no
"NM_024577.4 Homo sapiens SH3 domain and tetratricopeptide repeats 2 (SH3TC2), mRNA",SH3TC2,26468,NM_024577.4,no
"NM_001351291.2 Homo sapiens MGAT4 family member C (MGAT4C), transcript variant 10, mRNA",MGAT4C,26388,NM_001351291.2,no
"NM_001271208.2 Homo sapiens nebulin (NEB), transcript variant 4, mRNA",NEB,26296,NM_001271208.2,no
"NM_173600.2 Homo sapiens mucin 19, oligomeric (MUC19), mRNA",MUC19,25332,NM_173600.2,no
"NM_001374736.1 Homo sapiens dystonin (DST), transcript variant 4, mRNA",DST,24709,NM_001374736.1,no
"NM_021097.4 Homo sapiens solute carrier family 8 member A1 (SLC8A1), transcript variant A, mRNA",SLC8A1,23863,NM_021097.4,no
"NM_152318.3 Homo sapiens chromosome 12 open reading frame 45 (C12orf45), mRNA",C12orf45,23524,NM_152318.3,no
"NM_020762.4 Homo sapiens SLIT-ROBO Rho GTPase activating protein 1 (SRGAP1), transcript variant 1, mRNA",SRGAP1,22920,NM_020762.4,no
"NM_001322468.1 Homo sapiens mucin 4, cell surface associated (MUC4), transcript variant 6, mRNA",MUC4,22824,NM_001322468.1,no
"NR_131012.1 Homo sapiens nuclear paraspeckle assembly transcript 1 (NEAT1), transcript variant MENbeta, long non-coding RNA",NEAT1,22743,NR_131012.1,no
"NM_182914.3 Homo sapiens spectrin repeat containing nuclear envelope protein 2 (SYNE2), transcript variant 5, mRNA",SYNE2,21822,NM_182914.3,no
"NM_005744.5 Homo sapiens ariadne RBR E3 ubiquitin protein ligase 1 (ARIH1), mRNA",ARIH1,21679,NM_005744.5,no
"NM_001146197.3 Homo sapiens coiled-coil domain containing 168 (CCDC168), mRNA",CCDC168,21470,NM_001146197.3,no
"NM_014911.4 Homo sapiens AP2 associated kinase 1 (AAK1), transcript variant 1, mRNA",AAK1,21157,NM_014911.4,no
"NM_001354703.2 Homo sapiens transferrin (TF), transcript variant 2, mRNA",TF,21134,NM_001354703.2,no
"NM_001256071.3 Homo sapiens ring finger protein 213 (RNF213), transcript variant 3, mRNA",RNF213,21079,NM_001256071.3,no
"NM_173515.4 Homo sapiens CNKSR family member 3 (CNKSR3), transcript variant 2, mRNA",CNKSR3,21078,NM_173515.4,no
"NM_001270974.2 Homo sapiens HYDIN axonemal central pair apparatus protein (HYDIN), transcript variant 1, mRNA",HYDIN,21046,NM_001270974.2,no
"NR_034022.1 Homo sapiens zinc finger protein 655 pseudogene (LOC100131257), non-coding RNA",LOC100131257,21017,NR_034022.1,no
"NR_073366.2 Homo sapiens DnaJ heat shock protein family (Hsp40) member C10 (DNAJC10), transcript variant 4, non-coding RNA",Hsp40,21001,NR_073366.2,no
"NM_173651.4 Homo sapiens fibrous sheath interacting protein 2 (FSIP2), mRNA",FSIP2,20879,NM_173651.4,no
"NM_003482.4 Homo sapiens lysine methyltransferase 2D (KMT2D), mRNA",KMT2D,20635,NM_003482.4,no
"NM_001304533.3 Homo sapiens sodium/potassium transporting ATPase interacting 3 (NKAIN3), transcript variant 1, mRNA",NKAIN3,20374,NM_001304533.3,no
"NM_205842.3 Homo sapiens NCK associated protein 1 (NCKAP1), transcript variant 2, mRNA",NCKAP1,20350,NM_205842.3,no
"NM_033026.6 Homo sapiens piccolo presynaptic cytomatrix protein (PCLO), transcript variant 1, mRNA",PCLO,20284,NM_033026.6,no
"NM_052898.2 Homo sapiens XK related 4 (XKR4), mRNA",XKR4,20241,NM_052898.2,no
"NM_002530.4 Homo sapiens neurotrophic receptor tyrosine kinase 3 (NTRK3), transcript variant 2, mRNA",NTRK3,19976,NM_002530.4,no
"NM_177531.6 Homo sapiens PKHD1 like 1 (PKHD1L1), mRNA",PKHD1L1,19969,NM_177531.6,no
"NM_001376.5 Homo sapiens dynein cytoplasmic 1 heavy chain 1 (DYNC1H1), mRNA",DYNC1H1,19940,NM_001376.5,no
"NM_024852.4 Homo sapiens argonaute RISC catalytic component 3 (AGO3), transcript variant 1, mRNA",AGO3,19660,NM_024852.4,no
"NM_002240.5 Homo sapiens potassium inwardly rectifying channel subfamily J member 6 (KCNJ6), mRNA",KCNJ6,19659,NM_002240.5,no
"NM_004114.5 Homo sapiens fibroblast growth factor 13 (FGF13), transcript variant 1, mRNA",FGF13,19575,NM_004114.5,no
"NM_032119.4 Homo sapiens adhesion G protein-coupled receptor V1 (ADGRV1), transcript variant 1, mRNA",ADGRV1,19557,NM_032119.4,no
"NM_001367949.2 Homo sapiens FAT atypical cadherin 3 (FAT3), transcript variant 1, mRNA",FAT3,19504,NM_001367949.2,no
"NM_001010854.2 Homo sapiens tetratricopeptide repeat domain 7B (TTC7B), transcript variant 1, mRNA",TTC7B,19471,NM_001010854.2,no
"NM_024776.4 Homo sapiens pseudopodium enriched atypical kinase 1 (PEAK1), mRNA",PEAK1,19319,NM_024776.4,no
"NR_001564.2 Homo sapiens X inactive specific transcript (XIST), long non-coding RNA",XIST,19296,NR_001564.2,no
"NR_146177.1 Homo sapiens small nucleolar RNA host gene 14 (SNHG14), long non-coding RNA",SNHG14,19263,NR_146177.1,no
"NM_001128610.3 Homo sapiens ubiquitin specific peptidase 8 (USP8), transcript variant 2, mRNA",USP8,19005,NM_001128610.3,no
"NM_001290259.2 Homo sapiens PHD finger protein 3 (PHF3), transcript variant 2, mRNA",PHF3,18990,NM_001290259.2,no
"NM_206933.4 Homo sapiens usherin (USH2A), transcript variant 2, mRNA",USH2A,18938,NM_206933.4,no
"NM_001620.3 Homo sapiens AHNAK nucleoprotein (AHNAK), transcript variant 1, mRNA",AHNAK,18761,NM_001620.3,no
"NM_001127649.3 Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 2, mRNA",PEX26,18626,NM_001127649.3,no
"NM_001375457.1 Homo sapiens LIM domain containing preferred translocation partner in lipoma (LPP), transcript variant 6, mRNA",LPP,18625,NM_001375457.1,no
"NM_014611.3 Homo sapiens midasin AAA ATPase 1 (MDN1), mRNA",MDN1,18485,NM_014611.3,no
