Supplementary Table 5: False Nucleotide Blast Hits for Whole Mouse Transcriptome Against RNA Virus Sequence Database,,,,,,,,,,,,
Transcript Id,Subject ID,% Identity,Length,Mismatches,Gaps Opened,Query Start,Query End,Subject Start,Subject End,E-value,Bitscore,Assembly Software
BINPACKER.10.1,MK775204.1,93.421,228,15,0,97,324,8383,8610,2.97E-92,339,Binpacker
BINPACKER.10.3,MK775204.1,93.421,228,15,0,551,778,8383,8610,4.31E-92,339,Binpacker
BINPACKER.111.4,MK775204.1,92.593,81,4,2,98,176,8383,8463,7.61E-25,115,Binpacker
BINPACKER.45.1,MK775204.1,91.901,284,23,0,116,399,8610,8327,7.60E-110,398,Binpacker
BINPACKER.45.1,MK775204.1,93.913,115,7,0,344,458,8610,8496,1.39E-42,174,Binpacker
contig-55_3299,NC_003678.1,92.542,295,22,0,237,531,4965,5259,2.11E-117,424,Idba-tran
contig-55_3299,MH806434.1,94.007,267,16,0,251,517,4995,5261,7.65E-112,405,Idba-tran
contig-55_22218,MK775204.1,89.13,46,5,0,467,512,8488,8443,4.62E-08,58.4,Idba-tran
contig-55_26300,MK775204.1,97.727,44,1,0,3,46,8426,8383,1.04E-13,76.8,Idba-tran
NODE_7483_length_2847_cov_70.969039_g5332_i0,NC_003678.1,92.542,295,22,0,2334,2628,5259,4965,2.24E-117,424,Rna-spades
NODE_7483_length_2847_cov_70.969039_g5332_i0,MH806434.1,94.007,267,16,0,2348,2614,5261,4995,8.11E-112,405,Rna-spades
NODE_7824_length_2768_cov_71.317466_g5332_i1,NC_003678.1,92.542,295,22,0,220,514,4965,5259,2.18E-117,424,Rna-spades
NODE_7824_length_2768_cov_71.317466_g5332_i1,MH806434.1,94.007,267,16,0,234,500,4995,5261,7.88E-112,405,Rna-spades
NODE_8582_length_2585_cov_59.680141_g5332_i2,NC_003678.1,92.542,295,22,0,2072,2366,5259,4965,2.03E-117,424,Rna-spades
NODE_8582_length_2585_cov_59.680141_g5332_i2,MH806434.1,94.007,267,16,0,2086,2352,5261,4995,7.35E-112,405,Rna-spades
NODE_25840_length_587_cov_841.352727_g18773_i0,MK775204.1,100,36,0,0,551,586,8383,8418,8.67E-11,67.6,Rna-spades
NODE_26106_length_576_cov_45.252319_g19016_i0,MK775204.1,100,36,0,0,540,575,8383,8418,8.50E-11,67.6,Rna-spades
NODE_26501_length_561_cov_581.387405_g19386_i0,MK775204.1,89.13,46,5,0,502,547,8488,8443,4.98E-08,58.4,Rna-spades
NODE_36275_length_337_cov_1920.986667_g28969_i0,MK775204.1,96.552,116,4,0,222,337,8610,8495,7.63E-49,193,Rna-spades
NODE_36275_length_337_cov_1920.986667_g28969_i0,MK775204.1,96.61,59,1,1,219,277,8384,8327,6.15E-20,97.1,Rna-spades
NODE_43151_length_253_cov_10279.546296_g35840_i0,MK775204.1,93.264,193,13,0,61,253,8327,8519,8.99E-77,285,Rna-spades
NODE_43151_length_253_cov_10279.546296_g35840_i0,MK775204.1,93.966,116,7,0,1,116,8495,8610,5.64E-44,176,Rna-spades
NODE_59044_length_165_cov_9623.500000_g51733_i0,MK775204.1,93.651,126,8,0,3,128,8485,8610,4.48E-48,189,Rna-spades
NODE_59044_length_165_cov_9623.500000_g51733_i0,MK775204.1,92.391,92,7,0,73,164,8327,8418,7.65E-31,132,Rna-spades
scaffold6661,NC_003678.1,92.542,295,22,0,2334,2628,5259,4965,3.47E-117,424,Soap-trans-default
scaffold6661,MH806434.1,94.007,267,16,0,2348,2614,5261,4995,1.26E-111,405,Soap-trans-default
k25.R2151199,MK775204.1,95.935,123,5,0,96,218,8383,8505,2.84E-51,200,Trans-abyss
k25.R2176779,MK775204.1,91.901,284,23,0,124,407,8610,8327,1.98E-110,398,Trans-abyss
k35.S1557268,NC_003678.1,92.542,295,22,0,217,511,4965,5259,1.23E-117,424,Trans-abyss
k35.S1557268,MH806434.1,94.007,267,16,0,231,497,4995,5261,4.46E-112,405,Trans-abyss
k35.S1570382,NC_003678.1,92.542,295,22,0,225,519,4965,5259,1.24E-117,424,Trans-abyss
k35.S1570382,MH806434.1,94.007,267,16,0,239,505,4995,5261,4.49E-112,405,Trans-abyss
k35.R1533180,MK775204.1,96.491,114,4,0,1,114,8497,8610,8.07E-48,189,Trans-abyss
k35.R1533180,MK775204.1,96.61,59,1,1,59,117,8327,8384,5.03E-20,97.1,Trans-abyss
k35.R1539820,NC_003678.1,92.542,295,22,0,1771,2065,4965,5259,2.52E-117,424,Trans-abyss
k35.R1539820,MH806434.1,94.007,267,16,0,1785,2051,4995,5261,9.12E-112,405,Trans-abyss
k35.R1562415,MK775204.1,91.935,248,18,2,92,337,8610,8363,5.80E-95,346,Trans-abyss
k45.S82751,MK775204.1,96.629,89,3,0,1,89,8471,8383,8.61E-36,148,Trans-abyss
k45.S1073636,NC_003678.1,92.542,295,22,0,227,521,4965,5259,1.19E-117,424,Trans-abyss
k45.S1073636,MH806434.1,94.007,267,16,0,241,507,4995,5261,4.30E-112,405,Trans-abyss
k45.S1081360,MK775204.1,89.13,46,5,0,419,464,8443,8488,8.30E-08,58.4,Trans-abyss
k45.S1081399,MK775204.1,100,36,0,0,337,372,8383,8418,5.36E-11,67.6,Trans-abyss
k45.R1045770,MK775204.1,94.737,228,12,0,91,318,8383,8610,1.30E-97,355,Trans-abyss
k45.R1045770,MK775204.1,92.195,205,16,0,263,467,8327,8531,3.72E-78,291,Trans-abyss
k55.S244385,MK775204.1,97.727,44,1,0,97,140,8383,8426,3.05E-14,76.8,Trans-abyss
k55.S685189,NC_003678.1,92.542,295,22,0,459,753,4965,5259,1.27E-117,424,Trans-abyss
k55.S685189,MH806434.1,94.007,267,16,0,473,739,4995,5261,4.60E-112,405,Trans-abyss
k55.R666014,MK775204.1,93.534,232,15,0,51,282,8327,8558,4.58E-95,346,Trans-abyss
k55.R666014,MK775204.1,93.396,106,7,0,1,106,8505,8610,2.30E-38,158,Trans-abyss
k55.R666054,MK775204.1,96.907,97,3,0,115,211,8383,8479,3.59E-40,163,Trans-abyss
k55.R666103,MK775204.1,94.595,185,10,0,3,187,8426,8610,3.49E-77,287,Trans-abyss
k55.R666103,MK775204.1,96.61,59,1,1,132,190,8327,8384,6.31E-20,97.1,Trans-abyss
comp180_seq0,MK775204.1,94.444,90,5,0,171,260,8610,8521,7.63E-33,139,Bridger
comp180_seq0,MK775204.1,94.915,59,2,1,168,226,8384,8327,2.17E-18,91.6,Bridger
comp2887_seq0,NC_003678.1,92.542,295,22,0,1823,2117,4965,5259,3.51E-117,424,Bridger
comp2887_seq0,MH806434.1,94.007,267,16,0,1837,2103,4995,5261,1.27E-111,405,Bridger
comp2887_seq1,NC_003678.1,92.542,295,22,0,1792,2086,4965,5259,3.42E-117,424,Bridger
comp2887_seq1,MH806434.1,94.007,267,16,0,1806,2072,4995,5261,1.24E-111,405,Bridger
comp79_seq0,MK775204.1,92.655,177,13,0,1,177,8559,8383,2.15E-67,255,Bridger
comp9_seq0,MK775204.1,94.366,284,16,0,49,332,8610,8327,3.98E-122,436,Bridger
comp9_seq0,MK775204.1,91.304,138,12,0,277,414,8610,8473,1.23E-47,189,Bridger
comp9_seq0,MK775204.1,95.146,103,5,0,2,104,8429,8327,7.45E-40,163,Bridger
comp9_seq1,MK775204.1,93.662,284,18,0,49,332,8610,8327,2.27E-118,425,Bridger
