Supplementary Table 3: Information of Sequences Used to Test the Model's Ability to Generalize,,,,,,,,
,ID,Organism Name,MolTyp,Topology,Description,Genome Type,Length,Family
0,KU679936.1,Hepatitis B virus,DNA,circular,"Hepatitis B virus isolate 075_K_Ngk, complete genome",dsDNA-RT,3215,Hepadnaviridae
1,MN336526.1,Human immunodeficiency virus 1,RNA,linear,"HIV-1 isolate MSM20182722 from China, complete genome",ssRNA-RT,8977,Retroviridae
2,MH717783.2,Duck parvovirus,DNA,linear,"Duck parvovirus isolate GXN45, complete genome",ssDNA(+/-),5052,Parvoviridae
3,MN531106.1,Puma lentivirus,DNA,linear,"Puma lentivirus isolate Pco732, complete genome",ssRNA-RT,8108,Retroviridae
4,MN186403.1,Grapevine red blotch virus,DNA,circular,"Grapevine red blotch virus isolate MWC#130, complete genome",ssDNA(+/-),3206,Geminiviridae
5,MN486202.1,Porcine polyomavirus,DNA,circular,"Porcine polyomavirus strain P3, complete genome",dsDNA,5075,Polyomaviridae
6,MN163027.1,JC polyomavirus,DNA,circular,"JC polyomavirus isolate IRN-26H, complete genome",dsDNA,5121,Polyomaviridae
7,MH016288.1,Porcine bocavirus,DNA,linear,"Porcine bocavirus isolate FKI, complete genome",ssDNA(+/-),5337,Parvoviridae
8,NC_025897.1,Yellow baboon polyomavirus 2,DNA,circular,"Yellow baboon polyomavirus 2 DNA, complete genome, isolate: BS94/BK94",dsDNA,5181,Polyomaviridae
9,MN560970.1,Equine infectious anemia virus,RNA,linear,"Equine infectious anemia virus strain POCONE-BRA1, complete genome",ssRNA-RT,8016,Retroviridae
10,MN272071.1,Torque teno sus virus k2a,DNA,circular,"Torque teno sus virus k2a isolate TTV_LV05, complete genome",ssDNA(-),2824,Anelloviridae
11,MN272072.1,Torque teno sus virus 1a,DNA,circular,"Torque teno sus virus 1a isolate TTV_LV04, complete genome",ssDNA(-),2886,Anelloviridae
12,MN862728.1,Aleutian mink disease virus,DNA,linear,"Aleutian mink disease virus isolate MIVI-71, complete genome",ssDNA(+/-),4173,Parvoviridae
13,MN862741.1,Canine parvovirus,DNA,linear,"Canine parvovirus isolate CPV-2/American mink/MIVI-73/BC_2019, complete genome",ssDNA(+/-),4450,Parvoviridae
14,MN862743.1,Feline panleukopenia virus,DNA,linear,"Feline panleukopenia virus isolate FPV/American mink/MIVI-34/BC_2018, complete genome",ssDNA(+/-),4458,Parvoviridae
15,MN161849.1,Jaagsiekte sheep retrovirus,DNA,linear,"Jaagsiekte sheep retrovirus strain DL37, complete genome",ssRNA-RT,7460,Retroviridae
16,LC513651.1,HBV genotype E,DNA,circular,"HBV genotype E 18025-BUR DNA, complete genome",dsDNA-RT,3212,Hepadnaviridae
17,LC513653.1,HBV recombinant A/E,DNA,circular,"HBV recombinant A/E 18142-BUR DNA, complete genome",dsDNA-RT,3215,Hepadnaviridae
18,MN103402.1,Chicken anemia virus,DNA,circular,"Chicken anemia virus isolate GX1904A, complete genome",ssDNA(-),2298,Anelloviridae
19,AF382829.1,Simian immunodeficiency virus,RNA,linear,"Simian immunodeficiency virus isolate SIVrcmGAB1, complete genome",ssRNA-RT,9465,Retroviridae
20,MN095716.1,Southern tomato virus,RNA,linear,"Southern tomato virus isolate Antioquia/May5, complete genome",dsRNA,3437,Amalgaviridae
21,MN418974.1,Leishmania RNA virus 2,RNA,linear,"Leishmania RNA virus 2 isolate Lmj-Uzb1, complete genome",dsRNA,5222,Totiviridae
22,MK080568.2,Human papillomavirus,DNA,circular,"Human papillomavirus isolate ICB2, complete genome",dsDNA,7441,Papillomaviridae
